"","Messy text","text"
"1","Society for Information Technology and Teacher Education Conference 2016 -http://www.teasttogether.com/events/united-states/georgia/savannah/technology-1/society-for-information-technology-and-teacher-education-conference-2016/<U+00A0>＃ #technology #PD #AACE #siteconf @GaDOEnews","Society for Information Technology and Teacher Education Conference 2016 -"
"2","Next year (Mar 21-25, 2016), @siteconf is in Savannah, GA - right in my back yard.  http://site.aace.org/conf/<U+00A0> How convenient! #edtech #siteconf","Next year (Mar 21-25, 2016), @siteconf is in Savannah, GA - right in my back yard."
"3","How participants experienced #SITEconf 2015: Interview with Prof. Klinger on #wearable #edtech http://bit.ly/1G42WCN<U+00A0> pic.twitter.com/nM9iWoEbOA","How participants experienced  2015: Interview with Prof. Klinger on #wearable #edtech"
"4","My calendar from last week my help explain why a whole week in Vegas at #siteconf went by like a like＃ https://instagram.com/p/0DZmf8NyCJ/<U+00A0>","My calendar from last week my help explain why a whole week in Vegas at  went by like a like＃"
"5","Poster for Savannah is on my door. Never to soon to start planning for #siteconf 2016! pic.twitter.com/8WwRlmm8CZ","Poster for Savannah is on my door. Never to soon to start planning for  2016!"
"6","#tpack #SITE2015 #siteconf Big takeaway: TPACK is meta- for literacy, EFL, etc: our ""content"" is often skills; need to add praxis?","#tpack #SITE2015  Big takeaway: TPACK is meta- for literacy, EFL, etc: our ""content"" is often skills; need to add praxis?"
"7","Miss a #siteconf keynote? Want to see them again? Good news! You can see them all on #editlib now! http://www.editlib.org/talks/SITEC/2015/<U+00A0>＃","Miss a  keynote? Want to see them again? Good news! You can see them all on #editlib now!"
"8","@mr_isaacs Hi from #siteconf 2015! See you next year!","@mr_isaacs Hi from  2015! See you next year!"
"9","Utilization of Mobile Learning Technology to Enhance Curriculum by Dr. James Bissell http://academicexperts.org/conf/site/2015/papers/44306/<U+00A0>＃ #siteconf @siteconf","Utilization of Mobile Learning Technology to Enhance Curriculum by Dr. James Bissell"
"10","Amazing conference & learning. Excited to incorporate and try out new tech tools with students! #siteconf #site2015 pic.twitter.com/5Yv14Ns50L","Amazing conference & learning. Excited to incorporate and try out new tech tools with students!  #site2015"
"11","Thank you for sharing your Google Glass experience! The self-made glass was great. @profdaley #siteconf pic.twitter.com/OXMjzGqi0c","Thank you for sharing your Google Glass experience! The self-made glass was great. @profdaley"
"12","If you're looking 4 stuff to do post conf: recommend natl atomic testing museum! #siteconf pic.twitter.com/lWeVSouGvN","If you're looking 4 stuff to do post conf: recommend natl atomic testing museum!"
"13","#siteconf Evaluating OER quality is an urgent need.","Evaluating OER quality is an urgent need."
"14","#siteconf is almost over.  How will you continue the conversation?","is almost over.  How will you continue the conversation?"
"15","Google glass, good for #edtpa ? #siteconf","Google glass, good for #edtpa ?"
"16","Excellent resource from @melindamlarson  #iste standards and Danielson framework  https://sites.google.com/site/eetechpd/iste-danielson<U+00A0>＃ #siteconf","Excellent resource from @melindamlarson  #iste standards and Danielson framework"
"17","Google glass has many efficiency tools: timer search twitter reminders. #siteconf","Google glass has many efficiency tools: timer search twitter reminders."
"18","Kentucky has an entire teacher standard on technology integration  #siteconf pic.twitter.com/s3jRnElObc","Kentucky has an entire teacher standard on technology integration"
"19","Wearing google glass can give u an inside glimpse into ur own pedagogy #siteconf","Wearing google glass can give u an inside glimpse into ur own pedagogy"
"20","#SITEconf 2015 每 US and International K-12 Online Learning: How Have They Developed<U+00A0>Differently? http://wp.me/pba4d-aLV<U+00A0>","2015 每 US and International K-12 Online Learning: How Have They Developed<U+00A0>Differently?"
"21","※@kshaw0128: @optimistmalia #12 Twitter curator http://www.coolcatteacher.com/best-google-drive-add-ons/<U+00A0>＃§ @carolynnicole  u'd love these resources too #siteconf","※@kshaw0128: @optimistmalia #12 Twitter curator"
"22","""We teach what we are"" - one of Mishra's students #siteconf","""We teach what we are"" - one of Mishra's students"
"23","Push vs Pull in student projects  #siteconf pic.twitter.com/CjZCuPhqDW","Push vs Pull in student projects"
"24","Convenience is king. Re:reading, literacy, tech savvy. #SITE2015 #siteconf","Convenience is king. Re:reading, literacy, tech savvy. #SITE2015"
